    Time  Press    Temp     Rh    Alt  Speed    Dir   Batt  P.Temp  Dew   S.H.   M.R.     Et    Ozone O3Curr O3Temp   AD1    AD2    AD3    AD4    AD5    AD6
            hPa      °C     %      m    mps    deg      v     °C     °C          g/kg      s      ppb     µA     °C     v      v      v      v      v      v 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
01:33:51 866.75   18.2   26.2   1343    1.5    169    8.5    30.4  -1.5   0.80   3.91  189.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:52 866.57   18.2   26.1   1345    1.4    160    8.5    30.4  -1.5   0.80   3.89  190.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:54 866.30   18.2   26.3   1347    1.4    152    8.5    30.4  -1.4   0.80   3.92  192.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:55 866.35   18.1   26.4   1347    1.4    149    8.5    30.2  -1.5   0.80   3.90  193.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:57 866.12   18.0   26.6   1349    1.3    164    8.5    30.2  -1.4   0.80   3.92  195.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:58 866.35   18.1   26.4   1347    1.3    166    8.5    30.3  -1.5   0.80   3.91  196.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:59 866.27   17.9   26.4   1347    1.4    168    8.5    30.1  -1.6   0.79   3.86  197.4     0.00   0.00    0.0  0.000  0.082  0.015  0.000  0.000  0.024
01:34:00 866.05   17.8   26.3   1350    1.4    172    8.5    30.0  -1.7   0.79   3.82  198.4     0.00   0.00    0.0  0.000  0.082  0.015  0.000  0.000  0.024
01:34:01 865.84   17.8   26.4   1352    1.4    177    8.5    30.0  -1.7   0.79   3.82  199.4     0.00   0.00    0.0  0.000  0.082  0.015  0.000  0.000  0.024
01:34:02 866.06   18.0   26.3   1349    1.3    178    8.5    30.2  -1.6   0.79   3.87  200.4     0.00   0.00    0.0  0.000  0.082  0.015  0.000  0.000  0.024
01:34:03 865.88   17.9   26.3   1351    1.4    180    8.5    30.1  -1.7   0.79   3.84  201.4     0.00   0.00    0.0  0.000  0.082  0.015  0.000  0.000  0.024
01:34:04 866.41   18.2   26.4   1346    1.3    181    8.5    30.4  -1.4   0.80   3.94  202.4     0.00   0.00    0.0  0.000  0.082  0.015  0.000  0.000  0.024
01:34:05 865.85   18.0   26.6   1352    1.4    184    8.5    30.2  -1.5   0.80   3.92  203.4     0.00   0.00    0.0  0.000  0.082  0.015  0.000  0.000  0.024
01:34:07 865.93   18.0   26.3   1351    1.3    192    8.5    30.3  -1.6   0.79   3.88  205.4     0.00   0.00    0.0  0.000  0.082  0.014  0.000  0.000  0.024
