         Alt       Press        Temp          Rh       Speed        Batt       PTemp         Dew          SH          MR          Et       Ozone      O3Curr      O3Temp         AD1         AD2         AD3         AD4         AD5         AD6    Dir_mode
        1402      861.91       16.50       31.95        5.25        8.10       29.05       -0.25        0.81        4.35      694.80        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      273.50
        1403      861.80       16.47       32.03        4.70        8.10       29.03       -0.27        0.81        4.35      700.63        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      306.66
        1404      861.70       16.50       32.05        5.15        8.10       29.05       -0.20        0.81        4.36      699.80        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      289.50
        1405      861.60       16.47       31.97        4.20        8.10       29.07       -0.27        0.81        4.34      704.63        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      303.97
        1406      861.49       16.50       31.93        3.63        8.10       29.10       -0.30        0.81        4.34      707.30        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      293.29
        1408      861.28       16.50       31.90        3.70        8.10       29.17       -0.27        0.81        4.34      715.97        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      320.67
        1409      861.21       16.45       31.85        4.00        8.10       29.05       -0.35        0.81        4.31      722.80        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      311.00
        1410      861.09       16.50       31.80        4.00        8.10       29.10       -0.40        0.81        4.31      719.30        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      324.00
        1411      861.02       16.40       31.90        3.90        8.10       29.10       -0.30        0.81        4.32      721.30        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      311.00
        1412      860.89       16.42       31.86        4.00        8.10       29.10       -0.34        0.81        4.32      727.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      303.53
        1413      860.81       16.40       31.85        3.90        8.10       29.10       -0.30        0.81        4.33      729.80        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      305.50
        1414      860.68       16.40       31.90        3.38        8.10       29.10       -0.38        0.81        4.31      735.55        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      312.50
        1415      860.57       16.43       31.90        3.63        8.10       29.13       -0.33        0.81        4.33      736.63        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      312.31
        1416      860.50       16.35       31.88        3.42        8.10       29.05       -0.38        0.81        4.30      741.05        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      306.22
        1417      860.35       16.40       32.10        4.20        8.10       29.10       -0.30        0.81        4.35      749.30        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      278.00
        1419      860.16       16.40       32.10        4.80        8.10       29.10       -0.30        0.81        4.34      750.30        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      276.00
        1420      860.08       16.27       32.03        4.50        8.10       28.97       -0.43        0.81        4.29      756.63        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      268.93
